iter	Passed	Remaining
934	2050	142
935	2052	140
936	2054	138
937	2056	135
938	2058	133
939	2060	131
940	2062	129
941	2064	127
942	2066	124
943	2068	122
944	2070	120
945	2072	118
946	2074	116
947	2076	113
948	2078	111
949	2080	109
950	2082	107
951	2085	105
952	2087	102
953	2089	100
954	2091	98
955	2093	96
956	2095	94
957	2097	91
958	2099	89
959	2101	87
960	2103	85
961	2105	83
962	2107	80
963	2109	78
964	2111	76
965	2113	74
966	2115	72
967	2117	69
968	2119	67
969	2122	65
970	2124	63
971	2126	61
972	2129	59
973	2131	56
974	2133	54
975	2136	52
976	2138	50
977	2140	48
978	2142	45
979	2145	43
980	2147	41
981	2150	39
982	2153	37
983	2155	35
984	2158	32
985	2160	30
986	2162	28
987	2164	26
988	2166	24
989	2168	21
990	2170	19
991	2172	17
992	2174	15
993	2176	13
994	2178	10
995	2180	8
996	2182	6
997	2184	4
998	2186	2
999	2188	0
